data_registro,cidade,codigo_linha,nome_linha,trecho,tipo_trecho,periodo,condicao_transito,clima,tempo_programado_min,tempo_real_min,minutos_atraso,observacao
2026-08-01,Sarandi,001,Parque Alvamar / Conjunto Floresta,Maringá - Sarandi,Intermunicipal,Pico da manhã,Leve,Sem chuva,29,34,5,Massa de teste sintética para validação acadêmica; não representa telemetria real.
2026-08-02,Maringá,010,Universidade,Av. Tuiuti - Centro,Urbano,Entre picos,Muito intenso,Sem chuva,35,45,10,Massa de teste sintética para validação acadêmica; não representa telemetria real.
2026-08-03,Maringá,021,Av. Tuiuti,Zona Norte - Terminal,Urbano,Pico da tarde,Intenso,Sem chuva,40,49,9,Massa de teste sintética para validação acadêmica; não representa telemetria real.
2026-08-04,Sarandi,254E,Jardim Esperança,Centro - Jardim Panorama,Urbano,Noite,Moderado,Chuva,35,43,8,Massa de teste sintética para validação acadêmica; não representa telemetria real.
2026-08-05,Maringá,024,Parque Itaipu,Av. Tuiuti - Centro,Urbano,Pico da manhã,Leve,Sem chuva,30,33,3,Massa de teste sintética para validação acadêmica; não representa telemetria real.
2026-08-06,Maringá,031,Conjunto Requião,Maringá - Sarandi,Intermunicipal,Entre picos,Muito intenso,Sem chuva,45,54,9,Massa de teste sintética para validação acadêmica; não representa telemetria real.
2026-08-07,Sarandi,254L,Jardim Leblon,Maringá - Sarandi,Intermunicipal,Pico da tarde,Intenso,Sem chuva,30,38,8,Massa de teste sintética para validação acadêmica; não representa telemetria real.
2026-08-08,Maringá,041,Jardim Alvorada II,Av. Tuiuti - Centro,Urbano,Noite,Moderado,Chuva,40,48,8,Massa de teste sintética para validação acadêmica; não representa telemetria real.
2026-08-09,Maringá,051,Parque das Grevíleas,Zona Norte - Terminal,Urbano,Pico da manhã,Leve,Sem chuva,41,46,5,Massa de teste sintética para validação acadêmica; não representa telemetria real.
2026-08-10,Sarandi,254C,Jardim Cometa,Centro - Jardim Panorama,Urbano,Entre picos,Muito intenso,Sem chuva,46,53,7,Massa de teste sintética para validação acadêmica; não representa telemetria real.
2026-08-11,Maringá,007,Interbairros Zona Norte,Maringá - Sarandi,Intermunicipal,Pico da tarde,Intenso,Sem chuva,30,42,12,Massa de teste sintética para validação acadêmica; não representa telemetria real.
2026-08-12,Maringá,010,Universidade,Zona Norte - Terminal,Urbano,Noite,Moderado,Chuva,43,48,5,Massa de teste sintética para validação acadêmica; não representa telemetria real.
